Sample,Date,Distance,CH4,Tw,pCH4atm,U10,Fa
T_1,2018-06-16,8.5,13.377812058339,14,0.1772424,1.34,4.36235162549654
T_2,2018-06-16,30.3,7.27441400431991,14,0.1772424,0.894,5.17838241373252
T_3,2018-06-16,51.7,6.30806775271028,15.5,0.1772424,1.437,4.86312752436305
T_4,2018-06-16,71.5,6.37851268757941,13,0.1772424,0.423,2.88666660280515
T_5,2018-06-16,111.1,5.8214474786461,13,0.1772424,1.195,4.12176201307712
T_6,2018-06-16,149.7,6.55034374705138,13,0.1772424,0.628,4.27811736151835
T_7,2018-06-16,113.2,5.96880807327061,13.5,0.1772424,0.966,4.1384363647372
T_8,2018-06-16,84.7,5.55953980110521,13.5,0.1772424,0.761,9.1963469590645
T_9,2018-06-16,56.5,5.62467320086368,13,0.1772424,0.966,2.84662823584449
T_10,2018-06-16,6.59999999999997,5.5069986040029,13.5,0.1772424,0.954,3.63249907662253
T_1,2018-09-02,8.5,13.377812058339,14,0.1772424,1.34,4.36235162549654
T_2,2018-09-02,30.3,7.27441400431991,14,0.1772424,0.894,5.17838241373252
T_3,2018-09-02,51.7,6.30806775271028,15.5,0.1772424,1.437,4.86312752436305
T_4,2018-09-02,71.5,6.37851268757941,13,0.1772424,0.423,2.88666660280515
T_5,2018-09-02,111.1,5.8214474786461,13,0.1772424,1.195,4.12176201307712
T_6,2018-09-02,149.7,6.55034374705138,13,0.1772424,0.628,4.27811736151835
T_7,2018-09-02,113.2,5.96880807327061,13.5,0.1772424,0.966,4.1384363647372
T_8,2018-09-02,84.7,5.55953980110521,13.5,0.1772424,0.761,9.1963469590645
T_9,2018-09-02,56.5,5.62467320086368,13,0.1772424,0.966,2.84662823584449
T_10,2018-09-02,6.59999999999997,5.5069986040029,13.5,0.1772424,0.954,3.63249907662253
