Date,Depth,DissPerDepth,Radius,Diss
2018-06-16,1,1052227.61,109.65,246.68
2018-06-16,2,332837.84,102.94,107.34
2018-06-16,3,156383.67,98.05,43.49
2018-06-16,4,64837.3,92.52,13.03
2018-06-16,5,40109.38,83.89,6.2
2018-06-16,6,56648.6,69.7,7.76
2018-06-16,7,177588.3,47.49,26.49
2018-06-16,8,315328.51,14.8,234.08
2018-09-02,1,1052227.61,109.65,246.68
2018-09-02,2,332837.84,102.94,107.34
2018-09-02,3,156383.67,98.05,43.49
2018-09-02,4,64837.3,92.52,13.03
2018-09-02,5,40109.38,83.89,6.2
2018-09-02,6,56648.6,69.7,7.76
2018-09-02,7,177588.3,47.49,26.49
2018-09-02,8,315328.51,14.8,234.08
